item_uuid,item_name,product_name,image_url
92628c67-9111-4755-9a71-0448550f2bbe,"KP Original Salted Peanuts 65g, £1 PMP",kp original salted peanut 65g ,https://tb-static.uber.com/prod/image-proc/processed_images/09a0086ac9e10fa5e92b74ba46feed4f/859baff1d76042a45e319d1de80aec7a.jpeg
925a3be3-aab6-4b54-b0cc-7b8f5fe3ebd5,Danish Unsmoked Bacon Twinpack 2x200G,danish unsmoked bacon twinpack 2x200g,
925884d2-7772-52ff-b710-ba25ec8bb07d,Evian Mineral Water 1.5l,evian mineral water 1.5l,https://tb-static.uber.com/prod/image-proc/processed_images/c177dce5b7f821560e57ba72573def5b/859baff1d76042a45e319d1de80aec7a.jpeg
925377fa-73dd-44de-8352-b0e1b34228d8,Pepsi Regular 500ML,pepsi regular 500ml,https://d1ralsognjng37.cloudfront.net/4ec95558-04dd-4f16-90e4-c03f1ee13930.jpeg
924cb98a-685f-48fe-9ee1-4cdaf080dfec,Co Op Sweet & Salted Popcorn,co op sweet salted popcorn,https://tb-static.uber.com/prod/image-proc/processed_images/b47d31315b763d28a5fc51d4e8d71db2/859baff1d76042a45e319d1de80aec7a.jpeg
924b1c63-68a2-49f9-81cf-486cb6ece584,Co Op 6 British Free Range Large Eggs 6pk,co op 6 british free range large egg 6pk,
924a291f-0ffe-487c-aa96-72c13955238b,Mash Direct Carrot & Parsnip 400g,mash direct carrot parsnip 400g,https://tb-static.uber.com/prod/image-proc/processed_images/e97c031ba4330fdafdda58900bcc673e/859baff1d76042a45e319d1de80aec7a.jpeg
924812dc-9c57-5f96-9802-28c48921e93b,Oatly Oat Drink 1 Littre,oatly oat drink 1 littre,
9247b722-04e1-473d-8c6b-0299bf337800,Galaxy Minstrels Chocolate Treat Bag 80g,galaxy minstrel chocolate treat bag 80g,https://d1ralsognjng37.cloudfront.net/7b118d61-771c-409b-a107-33ad7f0ede37.jpeg
92456684-4af2-44be-9781-c02139aa4afd,KING POT NOODLE ORIGINAL CURRY 114G,king pot noodle original curry 114g,https://d1ralsognjng37.cloudfront.net/5f668563-737a-4886-9a2a-fe1e7e8ff550.jpeg
92435a1b-e22e-4921-bf54-8133411f5cb3,Barefoot Pink Pinot Grigio 75cl,barefoot pink pinot grigio 75cl,https://d1ralsognjng37.cloudfront.net/7b76c78c-c3e8-4995-b4cb-2cca447a96a0.jpeg
92412e04-7cce-482a-ae8c-3af407992c7a,STRONGBOW DARK FRUIT 10PK,strongbow dark fruit 10pk,https://d1ralsognjng37.cloudfront.net/2e64a461-96cf-4b99-b38e-b99515260a7b.jpeg
923ed82b-216b-4e18-922f-0787bbbb121a,raw connoisseuer kingsize slim + tips black,raw connoisseuer kingsize slim tip black,
923ebf1d-36f3-54bc-948c-15a9bcfd2cdd,hardys crest cabernet shiraz 75cl,hardy crest cabernet shiraz 75cl,
923676d2-42ff-4cbd-818b-441d2c4287a2,Co-op Pickled Silverskin Onions in Vinegar 440g,coop pickled silverskin onion in vinegar 440g,https://tb-static.uber.com/prod/image-proc/processed_images/b4fd9e949cd6792f5f3e43fe0e0cdcb1/859baff1d76042a45e319d1de80aec7a.jpeg
9235b73f-cff5-4cee-9aeb-aee752b6e84f,Sun Exotic Pineapple & Coconut Carton 288ml,sun exotic pineapple coconut carton 288ml,
922ee324-20a2-4801-9eec-2606b4d09e28,Oreo Cadbury Coated Milk 164g,oreo cadbury coated milk 164g,
922e2364-473b-4196-97b9-c8045892c066,Velvet Comfort 2 Rolls,velvet comfort 2 roll,https://d1ralsognjng37.cloudfront.net/a006c379-b1eb-4e2f-9e78-0012a836c6d5.jpeg
922baf20-c45f-478b-8d44-e2e0bb7ff409,Chocolate Orange Bitesize 95g,chocolate orange bitesize 95g,https://d1ralsognjng37.cloudfront.net/d37375ad-2d96-48eb-bef8-d4463b798524.jpeg
92275b5b-5c9c-47cb-b735-2506c3226ea9,Walkers French Fries Cheese and Onion Snacks 52g,walker french fry cheese and onion snack 52g,https://d1ralsognjng37.cloudfront.net/ac5beff6-8e18-43a4-b0f8-13a1cf1e2bfe.jpeg
92261c7c-743a-5600-840a-acd116efb35d,co op nas cherryade 2ltr,co op na cherryade 2ltr,https://tb-static.uber.com/prod/image-proc/processed_images/b14658f84b79985e7759860748ad5b4f/859baff1d76042a45e319d1de80aec7a.jpeg
92249881-8a73-5b28-8eba-39c084a3e240,yellow tail jammy red roo 75cl,yellow tail jammy red roo 75cl,
92231d9a-3bd0-525b-8ffe-70839ba947c2,swan crushball fresh burst filter * 54s,swan crushball fresh burst filter 54s,
