item_name,product_name
 Ciroc Pineapple 70cl,ciroc pineapple 70cl
 Ciroc Pomegranate Vodka 70cl,ciroc pomegranate vodka 70cl
 Classic Vanilla Ice Cream 900ml,classic vanilla ice cream 900ml
 Cling Film 20m x 350mm,cling film 20m x 350mm
 Clipper Fit Lighter Sgl,clipper fit lighter sgl
 Clonakity Black Pudding 200g,clonakity black pudding 200g
 Cobra Premium Beer 12 x 620ml,cobra premium beer 12 x 620ml
 Cobra Premium Beer 12 x 620ml,cobra premium beer 12 x 620ml
 Coca Cola 1.75L,coca cola 1.75l
 Coca Cola Can 330ml,coca cola can 330ml
 Coca Cola Contour Bottle 500ml,coca cola contour bottle 500ml
 Coca-Cola Zero Sugar  500ml PM £1.05,cocacola zero sugar 500ml 
 Coke 1.5ltr,coke 1.5ltr
 Coke Zero 500ml,coke zero 500ml
 Colgate Advanced Toothpaste PM100 50ml,colgate advanced toothpaste  50ml
 Colgate Toothbrush ,colgate toothbrush
 Colman's English Mustard 100g,colmans english mustard 100g
 Colman's Horseradish Sauce 136g,colmans horseradish sauce 136g
 Colman's Mint Sauce 165g,colmans mint sauce 165g
 Colman's Tartare Sauce 144g,colmans tartare sauce 144g
 Comfort Blue skies Fabric Conditioner ,comfort blue sky fabric conditioner
 Cooks & Co Chick Peas 400g,cook co chick pea 400g
 Corona  4 x 330ml,corona 4 x 330ml
 Corona Extra 62cl,corona extra 62cl
 Corona Extra Lager Beer Bottles 4 x 330m,corona extra lager beer bottle 4 x 330m
 Corona Extra Lager Beer Bottles 4 x 330m,corona extra lager beer bottle 4 x 330m
 Cottage Bakery Carrot Cake ,cottage bakery carrot cake
 Cottage Bakery Madeira Cake ,cottage bakery madeira cake
 Cottage Bakery Ripple Roll 400g,cottage bakery ripple roll 400g
 Cottage Bakery Victoria Sponge 375g,cottage bakery victoria sponge 375g
 Courvoisier VS Cognac Brandy 70cl,courvoisier v cognac brandy 70cl
 Crawfords Cheese Savouries 300g,crawford cheese savoury 300g
 Crunchie Tub 500ml,crunchie tub 500ml
 Cucumber Each,cucumber each
 DTC Beef Lasagne 450g,dtc beef lasagne 450g
 DTC Breaded Ham 100g,dtc breaded ham 100g
 DTC Cheese & S/D Tomato Tortelloni 250g,dtc cheese sd tomato tortelloni 250g
 DTC Coleslaw 250g,dtc coleslaw 250g
 DTC Cooked Ham 100g,dtc cooked ham 100g
 DTC Cranberry FC 1Ltr,dtc cranberry fc 1ltr
 DTC Guacomole 125g,dtc guacomole 125g
 DTC Ham & Pineapple Pizza 350g,dtc ham pineapple pizza 350g
 DTC Houmous 170g,dtc houmous 170g
 DTC Italian Ham Tortelloni 250g,dtc italian ham tortelloni 250g
 DTC Macaroni Cheese 450g,dtc macaroni cheese 450g
 DTC Mild Cheddar 8 Slices,dtc mild cheddar 8 slice
 DTC Pepperoni Pizza 330g,dtc pepperoni pizza 330g
 DTC Red Pepper Houmous 170g,dtc red pepper houmous 170g
 DTC Reduced Fat Houmous 170g,dtc reduced fat houmous 170g
 DTC Sour Cream & Chive Dip 170g,dtc sour cream chive dip 170g
 DTC Spinach & Ricotta Tortelloni 250g,dtc spinach ricotta tortelloni 250g
 DTC Tagliatelle 500g,dtc tagliatelle 500g
 DTC Taramasalata 170g,dtc taramasalata 170g
 DTC Three Cheese Pizza 331g,dtc three cheese pizza 331g
 DTC Tomato Salsa 170g,dtc tomato salsa 170g
 DTC Tzatziki 170g,dtc tzatziki 170g
 Daim Tub 500ml,daim tub 500ml
 Dead Man's Fingers Spiced Rum 70cl,dead man finger spiced rum 70cl
 Del Monte Peach Slices in Syrup 420g,del monte peach slice in syrup 420g
 Delamere Chocolate Flavour Milk 500ml,delamere chocolate flavour milk 500ml
 Delamere Roast Chicken Fillets 190g,delamere roast chicken fillet 190g
 Delamere Roast Chicken Thighs 420g,delamere roast chicken thigh 420g
 Delamere Strawberry Flavour Milk 500ml,delamere strawberry flavour milk 500ml
 Delicatessen Fine Eating Chicken Bites 200g,delicatessen fine eating chicken bite 200g
 Delicatessen Fine Eating Honey Roast Ham 5 Slices 90g,delicatessen fine eating honey roast ham 5 slice 90g
 Delicatessen Fine Eating Smoked Pork Sausage 180g,delicatessen fine eating smoked pork sausage 180g
 Delicatessen Fine Eating Swedish Style Meatballs 200g,delicatessen fine eating swedish style meatball 200g
 Delifrance All Butter Croissants 4 Pack,delifrance all butter croissant 4 pack
 Desperados Tequila Lager Beer 3 x 330ml Bottles,desperado tequila lager beer 3 x 330ml bottle
 Dettol Antibacterial Surface Cleaner 500ml,dettol antibacterial surface cleaner 500ml
 Diet Coke 1.75L,diet coke 1.75l
 Diet Coke Can 330ml,diet coke can 330ml
 Diet Coke Contour Bottle 500ml,diet coke contour bottle 500ml
 Dinton Farm Large F/R Eggs 6's,dinton farm large fr egg 6
 Dinton Farm Medium Organic Eggs 6's,dinton farm medium organic egg 6
 Discover the Choice 4 White Petit Pains,discover the choice 4 white petit pain
 Discover the Choice Falafel & Houmous Dip 100g,discover the choice falafel houmous dip 100g
 Dolmio Bolognese Sauce PM199 500g,dolmio bolognese sauce  500g
 Dolmio Tomato Pasta Bake Sauce 500g,dolmio tomato pasta bake sauce 500g
 Domestos Bleach 750ml,domestos bleach 750ml
 Domestos Original Thick Bleach ,domestos original thick bleach
 Doom Bar Amber Ale 500ml,doom bar amber ale 500ml
 Dorfitos Chilli Heat 150g,dorfitos chilli heat 150g
 Doritos Chilli Heatwave Tortilla Chips £1 RRP PMP 70g,doritos chilli heatwave tortilla chip 1 rrp g
 Doritos Cool Original 150g,doritos cool original 150g
 Doritos Mild Salsa Dip 300g,doritos mild salsa dip 300g
 Doritos Nacho Cheese Dip 280g,doritos nacho cheese dip 280g
 Double Decker Tub 500ml,double decker tub 500ml
 Dr Oetker Vanilla Extract 35ml,dr oetker vanilla extract 35ml
 Dr Pepper 500ml,dr pepper 500ml
 Dr. Oetker Ristorante pepperoni Pizza 320g,dr. oetker ristorante pepperoni pizza 320g
 Dragon Soop Apple & Blackcurrant 500ml Can,dragon soop apple blackcurrant 500ml can
 Dragon Soop Dark Fruits 500ml Can,dragon soop dark fruit 500ml can
 Dragon Soop Esq Tangerine Bottle 15% Abv 70cl,dragon soop esq tangerine bottle 15 % abv 70cl
 Dragon Soop Passionfruit & Orange Caffeinated Alcoholic Beverage 500ml,dragon soop passionfruit orange caffeinated alcoholic beverage 500ml
 Dragon Soop Peach & Raspberry 500ml,dragon soop peach raspberry 500ml
 Dragon Soop Red Kola 500ml,dragon soop red kola 500ml
 Dragon Soop Rhubarb & Custard 500ml Can,dragon soop rhubarb custard 500ml can
 Dragon Soop Sour Apple 500ml,dragon soop sour apple 500ml
 Durex Extra Safe Condoms 6 Pack,durex extra safe condom 6 pack
 Durex Thin Feel condom 6's,durex thin feel condom 6
 E&J BRANDY (20cl),ej brandy 20cl
