item_uuid,item_name,image_url,number_sku_sold
d1078e03-f625-4687-98fe-0e400bab1ad3,warburton wholemeal bread 800g,,1
13c696b7-b999-5e8c-986b-283eb1594c5b,walls viennetta vanilla 650ml,,1
3075b0e1-d349-5b49-b010-9da668dbdc36,walls viennetta vanilla 650ml,,6
404be131-18a5-443c-bf9c-da80484213b8,walls viennetta vanilla 650ml,,7
5e9b86de-0825-58d1-be1f-854e742acd5a,walls viennetta vanilla 650ml,,1
a4aecdb5-a334-443c-b996-4e9de8c138fe,walls viennetta vanilla 650ml,,1
a7d062fe-7709-53b5-a4af-e99bd5e5c3f2,walls viennetta vanilla 650ml,,0
a81ef45e-d6a0-53c8-ab82-65212c011ea1,walls viennetta vanilla 650ml,,1
b6d4f0c5-9004-5201-8fcd-5c4d0cf550ad,walls viennetta vanilla 650ml,,1
c414bada-7b58-5c85-a788-bbc9b6ba1f02,walls viennetta vanilla 650ml,,0
d239f9e1-1842-5307-90ce-246720c24491,walls viennetta vanilla 650ml,,2
f4948ad5-c835-57cf-8958-70044944b573,walls viennetta vanilla 650ml,,2
f644f89b-e6f9-58eb-a5b4-b3fa2b4fdd2c,walls viennetta vanilla 650ml,,1
fd5f63c2-46f0-50d4-857c-ed9cd68d109b,walls viennetta vanilla 650ml,,4
232a3ab4-74cc-564d-9bc1-a3e86e45fa07,walls viennetta mint 650ml,https://tb-static.uber.com/prod/image-proc/processed_images/e6e16c56cf60d1da5cc778ddd8f301de/859baff1d76042a45e319d1de80aec7a.jpeg,0
3c9444a4-bfe6-5c6b-a838-76274ad7f6da,walls viennetta mint 650ml,https://tb-static.uber.com/prod/image-proc/processed_images/e6e16c56cf60d1da5cc778ddd8f301de/859baff1d76042a45e319d1de80aec7a.jpeg,1
5e1b6f2d-a694-4a48-a2ae-dea703d67017,walls viennetta mint 650ml,https://tb-static.uber.com/prod/image-proc/processed_images/e6e16c56cf60d1da5cc778ddd8f301de/859baff1d76042a45e319d1de80aec7a.jpeg,0
7738a0ea-fca1-4ac5-bdca-450bcdc18bc6,walls viennetta mint 650ml,https://tb-static.uber.com/prod/image-proc/processed_images/e6e16c56cf60d1da5cc778ddd8f301de/859baff1d76042a45e319d1de80aec7a.jpeg,1
7738a0ea-fca1-4ac5-bdca-450bcdc18bc6,walls viennetta mint 650ml,,6
833679e6-4cfe-5b34-b090-3c16195cb042,walls viennetta mint 650ml,https://tb-static.uber.com/prod/image-proc/processed_images/e6e16c56cf60d1da5cc778ddd8f301de/859baff1d76042a45e319d1de80aec7a.jpeg,0
a3050ed1-4c15-52b8-abe5-2c95568fb684,walls viennetta mint 650ml,https://tb-static.uber.com/prod/image-proc/processed_images/e6e16c56cf60d1da5cc778ddd8f301de/859baff1d76042a45e319d1de80aec7a.jpeg,2
facad98d-1325-5d64-b9b3-85df94b007b4,walls viennetta mint 650ml,,3
facad98d-1325-5d64-b9b3-85df94b007b4,walls viennetta mint 650ml,https://tb-static.uber.com/prod/image-proc/processed_images/e6e16c56cf60d1da5cc778ddd8f301de/859baff1d76042a45e319d1de80aec7a.jpeg,3
e0e3552a-8e72-5149-92e3-0d000be96800,walls pepper steak slice 170g,,0
15485dc4-364d-5aae-9cc8-50fcee0f28df,walls magnum classic 4pk 440ml,,1
3267a3e5-7d25-55f7-9db9-b58f39e4f4d4,walls magnum classic 4pk 440ml,,0
4881ecbe-eb9b-5088-8616-2e79aaf700f1,walls magnum classic 4pk 440ml,,10
9e3b6456-5497-47c2-a07c-4cfa8c655916,walls cornetto strawberry 120ml,,1
a06516a9-3fb7-5b9e-917e-df303a90a6a6,walls chicken mushroom slice 170g,,0
48ca4d11-7d95-4c49-89f8-01f6939969e6,walls calippo orange 105ml,,6
188d9394-b081-5939-be7b-0edfc0537acb,wall's soft scoop vanilla ice cream 1800ml,,3
31a80745-32df-513c-872d-cace9cc12bd1,walkers variety 6pk 6x25g,,2
80fb61ae-c7cd-5009-a3b2-5f54dd9e2495,walkers variety 6pk 6x25g,,2
86050a1b-0189-5b29-bd8b-6d62a9480a25,walkers variety 6pk 6x25g,,5
e8cdcb6f-c566-4869-b80c-236e4357e4b8,walkers variety 6pk 6x25g,,0
040bf6bb-fb58-5ad5-99c5-da800183c952,walkers salt & vinegar pm 1 65g,,5
2dc5e291-261b-5cef-920e-1a64b098924c,walkers salt & vinegar pm 1 65g,,2
2f3e2df4-4017-4578-a318-2c48068ca7b0,walkers salt & vinegar pm 1 65g,,7
3c07cfe2-fcc3-51f4-a059-b9b84f297b57,walkers salt & vinegar pm 1 65g,,2
63b6c587-31d1-5856-b544-f8ba4750e99a,walkers salt & vinegar pm 1 65g,,2
71a57bb2-d8a5-5910-b0e3-db6dcbbf76ce,walkers salt & vinegar pm 1 65g,,4
a4cac784-8c18-55f4-8846-38043e4ce0d5,walkers salt & vinegar pm 1 65g,,2
41e987bf-8584-5256-9b44-75458d642df8,walkers ready salted pm 1 65g,,26
7bfe79e3-0c4f-4370-a4c2-39776335cac3,walkers ready salted pm 1 65g,,7
92c97761-2fff-55f3-a0d7-35f1cc0fa8c0,walkers ready salted pm 1 65g,,2
e6a7c870-21fe-5121-bbef-689577452ec0,walkers ready salted pm 1 65g,,2
116e655d-3a88-5f73-ba0b-3acf4a28489b,walkers ready salted 6pk 6x25g,https://tb-static.uber.com/prod/image-proc/processed_images/1a1e538e7ebf8bac635d57075ff4ffce/859baff1d76042a45e319d1de80aec7a.jpeg,2
1e6e3240-a0b8-5f6a-93a8-da3a42bd53c5,walkers ready salted 6pk 6x25g,https://tb-static.uber.com/prod/image-proc/processed_images/1a1e538e7ebf8bac635d57075ff4ffce/859baff1d76042a45e319d1de80aec7a.jpeg,1
316dfd7f-7e60-5816-adaf-b669841738f0,walkers ready salted 6pk 6x25g,https://tb-static.uber.com/prod/image-proc/processed_images/1a1e538e7ebf8bac635d57075ff4ffce/859baff1d76042a45e319d1de80aec7a.jpeg,3
9bd763ca-1221-4191-af46-a7a0c858cee5,walkers ready salted 6pk 6x25g,https://tb-static.uber.com/prod/image-proc/processed_images/1a1e538e7ebf8bac635d57075ff4ffce/859baff1d76042a45e319d1de80aec7a.jpeg,2
af729933-9e51-5f5f-8696-e3fb6877128d,walkers ready salted 6pk 6x25g,https://tb-static.uber.com/prod/image-proc/processed_images/1a1e538e7ebf8bac635d57075ff4ffce/859baff1d76042a45e319d1de80aec7a.jpeg,1
f5d6275c-a889-521a-bccb-ec8b7f7d02d2,walkers ready salted 6pk 6x25g,https://tb-static.uber.com/prod/image-proc/processed_images/1a1e538e7ebf8bac635d57075ff4ffce/859baff1d76042a45e319d1de80aec7a.jpeg,1
dadd4389-ab05-5c92-9664-73afc55da13a,walkers ready salted 45g,,1
40ba2f16-ff3a-507f-890e-1b40c42c09d8,walkers max double crunch bbq rib 140g,https://tb-static.uber.com/prod/image-proc/processed_images/d2d8ffdfab78df710a50e8140e244f16/859baff1d76042a45e319d1de80aec7a.jpeg,1
40ba2f16-ff3a-507f-890e-1b40c42c09d8,walkers max double crunch bbq rib 140g,,1
