group_id,leader,member,modify_leader,image_url,image,label,canonical_leader,brand ,name ,package,promotion
2321,vino la planta ribera duero 750 ml espaa 1010,vino la planta ribera duero 750 ml espaa 1010,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/9c02682c8ef6aeb5eeca4ef606e34cfa/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Ribera del Duero Vino La Planta Botella 750 ml,Ribera del Duero,Vino La Planta,Botella 750 ml,0
2322,vino lagrimas maria crianza 750 ml espaa 1104,vino lagrimas maria crianza 750 ml espaa 1104,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/906a3d7c96378ed35e2174cf920b3787/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Lágrimas de María Vino Tempranillo Crianza Botella 750 ml,Lágrimas de María,Vino Tempranillo Crianza,Botella 750 ml,0
2323,vino lagrimas maria joven 750 ml espaa 1005,vino lagrimas maria joven 750 ml espaa 1005,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/ed5648d37b87f7c9a4d5d27856525077/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Lágrimas de María Vino Tempranillo Botella 750 ml,Lágrimas de María,Vino Tempranillo,Botella 750 ml,0
2324,vino lagrimas maria reserv 750 ml espaa 1203,vino lagrimas maria reserv 750 ml espaa 1203,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/eb957b137891f8d9780281137b1116c7/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Lágrimas de María Vino Rioja Botella 750 ml,Lágrimas de María,Vino Rioja,Botella 750 ml,0
2325,vino lan rioja crianza 750 ml 0954,vino lan rioja crianza 750 ml 0954,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/1e674b58eec140d89e9ed2572b04bd8b/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Crianza Vino Villarica Rioja Botella 750 ml,Crianza,Vino Villarica Rioja,Botella 750 ml,0
2326,vino lucio muoz tempranillo 750 ml espaa 6481,vino lucio muoz tempranillo 750 ml espaa 6481,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/a7960254f75a8364e271a8bd4f7a6bf5/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Lucio Muñoz Vino Tempranillo Botella 750 ml,Lucio Muñoz,Vino Tempranillo,Botella 750 ml,0
2327,vino luigi bosca cabernet suav 750 ml argentina 1248,vino luigi bosca cabernet suav 750 ml argentina 1248,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/40e7f9ac5b72d14d50681a5caf3ba1c7/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Luigi Bosca Vino Cabernet Sauvignon Botella 750 ml,Luigi Bosca,Vino Cabernet Sauvignon,Botella 750 ml,0
2328,vino luigi bosca malbec reserva 750 ml 1231,vino luigi bosca malbec reserva 750 ml 1231,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/e0743291b4351f33e70763c17a71b3ed/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Luigi Bosca Vino Malbec Reserva Botella 750 ml,Luigi Bosca,Vino Malbec Reserva,Botella 750 ml,0
2329,vino luis caas crianza 750 ml espaa 3113,vino luis caas crianza 750 ml espaa 3113,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/093fc4dd4671dcfa9dcde77ab69df7fb/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Luis Cañas Vino Rioja Crianza Botella 750 ml,Luis Cañas,Vino Rioja Crianza,Botella 750 ml,0
2330,vino luis caas reserva 750 ml espaa 0023,vino luis caas reserva 750 ml espaa 0023,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/d232ab54609b7001a07848f0bd52a6a8/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Luis Cañas Vino Rioja Reserva Botella 750 ml,Luis Cañas,Vino Rioja Reserva,Botella 750 ml,0
