group_id,leader,member,modify_leader,image_url,Image,label,canonical_leader,brand,name,package ,promotion,Comments
23196,queque pequeo la estacin t cero 2.5l,queque pequeo la estacin t cero 2.5l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/49b304fcef2f7e4244af4896a386e77f/b4facf495c22df52f3ca635379ebe613.jpeg,,TRUE,La Estación Pack queque pequeño + té melocotón zero Dos Pinos ,La Estación,Pack queque pequeño + té melocotón zero Dos Pinos,,,
23197,queso americano do pinos 128g,queso americano do pinos 128g,Yes,,,TRUE,Dos Pinos queso americano 128 g,Dos Pinos,queso americano,128 g,,
23198,queso cheddar 400g,queso cheddar 400g,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/db5dc3ea80e9b76b83c5028791ffa5dc/859baff1d76042a45e319d1de80aec7a.jpeg,,TRUE,Dos Pinos queso cheddar Bolsa 400 g,Dos Pinos,queso cheddar,Bolsa 400 g,,
23199,queso cottage do pinos 310 g 5512,queso cottage do pinos 310 g 5512,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/8f98ea3e2a7e08b4a01d21a39359fc8c/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Dos Pinos queso tipo cottage In Line Pote 310 g,Dos Pinos,queso tipo cottage In Line,Pote 310 g,,
23201,queso crema con pia do pinos 210 g 7394,queso crema con pia do pinos 210 g 7394,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/c74532eeaacf786b07e8029d8d52c18a/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Dos Pinos queso crenma con piña y semillas mixtas Pote 210 g,Dos Pinos,queso crenma con piña y semillas mixtas,Pote 210 g,,
23202,queso crema delactomy do pinos 210 g 6143,queso crema delactomy do pinos 210 g 6143,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/26ec785309149bd1e0d0446d5c1fdb67/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Dos Pinos queso crema Delactomy Pote 210 g,Dos Pinos,queso crema Delactomy,Pote 210 g,,
23205,queso crema do pinos 350 g 7370,queso crema do pinos 350 g 7370,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/ef921bab8abc73866597622ada61c516/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Dos Pinos queso crema original Pote 350 g,Dos Pinos,queso crema original,Pote 350 g,,
23206,queso crema do pinos pequeo,queso crema do pinos,Yes,,,FALSE,Dos Pinos queso crema ,Dos Pinos,queso crema,,,
23206,queso crema do pinos pequeo,queso crema do pinos pequeo,Yes,,,TRUE,Dos Pinos queso crema pequeño ,Dos Pinos,queso crema pequeño,,,
23207,queso crema original do pinos 210g und,do pinos queso crema 210 gr,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/cb05f4c231f5610862ea04440da37628/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Dos Pinos queso crema original Pote 210 g,Dos Pinos,queso crema original,Pote 210 g,,
23207,queso crema original do pinos 210g und,do pinos queso crema light 210 gr,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/6845388b73a6cb80923443bfc7dd642c/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Dos Pinos queso crema light Pote 210 g,Dos Pinos,queso crema light,Pote 210 g,,
23207,queso crema original do pinos 210g und,queso crema 210g do pinos,Yes,,,FALSE,Dos Pinos queso crema Pote 210 g,Dos Pinos,queso crema,Pote 210 g,,
23207,queso crema original do pinos 210g und,queso crema do pinos 100 g 6069,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/602d8f7e72e1e943d612b40b8063ed98/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,FALSE,Dos Pinos queso crema original Pote 100 g,Dos Pinos,queso crema original,Pote 100 g,,
23207,queso crema original do pinos 210g und,queso crema do pinos 100g,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/3c84c9978dba408792ae0b965c81ea74/b4facf495c22df52f3ca635379ebe613.jpeg,,FALSE,Dos Pinos queso crema original Pote 100 g,Dos Pinos,queso crema original,Pote 100 g,,
23207,queso crema original do pinos 210g und,queso crema do pinos 210 g 7363,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/37e76215039a3360c4d05601531d0695/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Dos Pinos queso crema original Pote 210 g,Dos Pinos,queso crema original,Pote 210 g,,
