canonical_id,canonical_leader,brand,name,package,promotion,agent_verified
327,Dos Pinos Jugo De Manzana Caja 1 L,Dos Pinos,Jugo De Manzana,caja 1 l,0.0,1
328,Dos Pinos Jugo De Manzana Caja 250 Ml,Dos Pinos,Jugo De Manzana,caja 250 ml,0.0,1
329,Dos Pinos Jugo Naranja Con Zanahoria Caja 1 L,Dos Pinos,Jugo Naranja Con Zanahoria,caja 1 l,0.0,1
330,Dos Pinos Jugo De Naranja Caja 1 L,Dos Pinos,Jugo De Naranja,caja 1 l,0.0,1
331,Dos Pinos Jugo De Naranja Botella 2.2 L,Dos Pinos,Jugo De Naranja,botella 2.2 l,0.0,1
332,Dos Pinos Jugo Naranja Con Zanahoria Caja 1.8 L,Dos Pinos,Jugo Naranja Con Zanahoria,caja 1.8 l,0.0,1
333,Dos Pinos Jugo Manzana Y Mora Con Jengibre Caja 946 Ml,Dos Pinos,Jugo Manzana Y Mora Con Jengibre,caja 946 ml,0.0,1
334,Dos Pinos Jugo De Naranja Caja 250 Ml,Dos Pinos,Jugo De Naranja,caja 250 ml,0.0,1
335,Dos Pinos Jugo Naranja 100% Natural Botella 1.8 L,Dos Pinos,Jugo Naranja 100% Natural,botella 1.8 l,0.0,1
336,Dos Pinos Jugo De Naranja Con Zanahoria Caja 250 Ml,Dos Pinos,Jugo De Naranja Con Zanahoria,caja 250 ml,0.0,1
337,Dos Pinos Jugo De Naranja Caja 1.8 L,Dos Pinos,Jugo De Naranja,caja 1.8 l,0.0,1
338,Dos Pinos Jugo De Naranja Caja 500 Ml,Dos Pinos,Jugo De Naranja,caja 500 ml,0.0,1
339,Dos Pinos Jugo De Naranja 6 X 250 Ml,Dos Pinos,Jugo De Naranja,6 x 250 ml,0.0,1
340,Dos Pinos Jugo De Naranja Y Maracuyá Con Ginseng Caja 946 Ml,Dos Pinos,Jugo De Naranja Y Maracuyá Con Ginseng,caja 946 ml,0.0,1
341,La Estación Hamburguesa 1 Unid,La Estación,Hamburguesa,1 unid,0.0,1
342,Dos Pinos Lactocrema 1 Unit,Dos Pinos,Lactocrema,1 unit,0.0,1
343,Dos Pinos Lactocrema 115 G,Dos Pinos,Lactocrema,115 g,0.0,1
344,Dos Pinos Lactocrema Pote 115 G,Dos Pinos,Lactocrema,pote 115 g,0.0,1
345,Dos Pinos Lactocrema Pote 210 G,Dos Pinos,Lactocrema,pote 210 g,0.0,1
